timestep 	 voltage 
 
79.6854 	 	 -42.6289
80 	 	 -42.4869
80 	 	 -42.4869
80.0693 	 	 -42.4541
80.201 	 	 -42.39
80.496 	 	 -42.2399
80.791 	 	 -42.0793
81 	 	 -41.958
81 	 	 -41.958
81.0524 	 	 -41.9259
81.1542 	 	 -41.8618
81.3703 	 	 -41.7194
81.5864 	 	 -41.5671
81.8026 	 	 -41.4029
82 	 	 -41.2388
82 	 	 -41.2388
82.0738 	 	 -41.1727
82.1477 	 	 -41.1042
82.3802 	 	 -40.8721
82.6127 	 	 -40.6107
82.8452 	 	 -40.3131
83 	 	 -40.0812
83 	 	 -40.0812
83.0202 	 	 -40.0481
83.0601 	 	 -39.9812
83.1248 	 	 -39.8689
83.1895 	 	 -39.7509
83.2873 	 	 -39.5576
83.3851 	 	 -39.344
83.4829 	 	 -39.105
83.6413 	 	 -38.6471
83.7997 	 	 -38.0683
83.958 	 	 -37.306
84 	 	 -37.0548
84 	 	 -37.0548
84.0091 	 	 -36.9943
84.0183 	 	 -36.9328
84.0373 	 	 -36.8012
84.0563 	 	 -36.6635
84.0887 	 	 -36.4113
84.1211 	 	 -36.1339
84.1535 	 	 -35.8265
84.2151 	 	 -35.1344
84.2768 	 	 -34.2576
84.3384 	 	 -33.0895
84.4 	 	 -31.4385
84.4355 	 	 -30.142
84.471 	 	 -28.4462
84.5065 	 	 -26.1331
84.5291 	 	 -24.1958
84.5517 	 	 -21.7424
84.5742 	 	 -18.6053
84.5968 	 	 -14.5935
84.6194 	 	 -9.62101
84.6337 	 	 -6.0038
84.6479 	 	 -2.11628
84.6622 	 	 1.89242
84.6764 	 	 5.84267
84.6907 	 	 9.54243
84.705 	 	 12.8217
84.7192 	 	 15.5635
84.7335 	 	 17.7111
84.7477 	 	 19.2573
84.762 	 	 20.2289
84.7763 	 	 20.6716
84.7905 	 	 20.639
84.8048 	 	 20.1867
84.819 	 	 19.3683
84.8333 	 	 18.2344
84.8476 	 	 16.8327
84.8618 	 	 15.2077
84.8837 	 	 12.3769
84.9055 	 	 9.25877
84.9274 	 	 5.96675
84.9492 	 	 2.59205
84.971 	 	 -0.786489
84.9929 	 	 -4.11128
85 	 	 -5.17373
85 	 	 -5.17373
85 	 	 -5.17385
85.0021 	 	 -5.48791
85.0104 	 	 -6.69837
85.0186 	 	 -7.89577
85.0268 	 	 -9.07533
85.0351 	 	 -10.2366
85.0433 	 	 -11.3795
85.0564 	 	 -13.1603
85.0695 	 	 -14.8962
85.0826 	 	 -16.5935
85.0957 	 	 -18.2593
85.1088 	 	 -19.9019
85.1219 	 	 -21.5297
85.1444 	 	 -24.317
85.1669 	 	 -27.1145
85.1894 	 	 -29.9382
85.212 	 	 -32.7766
85.2345 	 	 -35.5936
85.257 	 	 -38.3275
85.2795 	 	 -40.9065
85.302 	 	 -43.2593
85.3245 	 	 -45.3327
85.347 	 	 -47.1
85.3696 	 	 -48.5619
85.3921 	 	 -49.7394
85.4146 	 	 -50.6653
85.4371 	 	 -51.3767
85.4596 	 	 -51.9093
85.4821 	 	 -52.2952
85.5046 	 	 -52.5614
85.5271 	 	 -52.7302
85.5497 	 	 -52.8199
85.5722 	 	 -52.8453
85.5947 	 	 -52.8184
85.6172 	 	 -52.7491
85.6397 	 	 -52.6454
85.6622 	 	 -52.5142
85.6847 	 	 -52.3612
85.7073 	 	 -52.191
85.7298 	 	 -52.0077
85.7523 	 	 -51.8148
85.7748 	 	 -51.6153
85.7973 	 	 -51.4117
85.8198 	 	 -51.2063
85.8423 	 	 -51.0008
85.8649 	 	 -50.7971
85.8874 	 	 -50.5964
85.9099 	 	 -50.4001
85.9324 	 	 -50.2091
85.9549 	 	 -50.0245
85.9774 	 	 -49.8469
